index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
2580,2581,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดอ่างแก้ว,1,199,527,3,570,108
2581,2582,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดอ่างแก้ว,2,148,527,2,277,52
2582,2583,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดโคนอน,3,165,615,1,189,30
2583,2584,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดโคนอน,4,174,640,2,488,76
2584,2585,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดโคนอน,5,162,601,2,320,53
2585,2586,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดโคนอน,6,154,593,2,330,55
2586,2587,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดรางบัว,7,207,615,2,278,45
2587,2588,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดรางบัว,8,244,587,3,332,56
2588,2589,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดรางบัว,9,158,575,3,450,78
2589,2590,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดรางบัว,10,150,566,0,0,0
2590,2591,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงเรียนวัดรางบัว,11,171,634,0,0,0
2591,2592,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงจอดรถตรงข้ามซอยเทอดไท 77 แยก 1 (สวนอาหารส้มโอ),12,193,521,0,0,0
2592,2593,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,โรงจอดรถตรงข้ามซอยเทอดไท 77 แยก 1 (สวนอาหารส้มโอ),13,184,511,2,286,55
2593,2594,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค,14,225,622,2,198,31
2594,2595,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค,15,234,611,2,235,38
2595,2596,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค,16,206,577,0,0,0
2596,2597,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารอเนกประสงค์หน้าบ้านพักนิคมทวีสุข  บางแค,17,177,618,1,10,1
2597,2598,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,เต็นท์หน้าร้านเซเว่นอีเลฟเว่น ปากซอยศาลธนบุรี 44/4,18,265,848,0,0,0
2598,2599,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,เต็นท์หน้าร้านเซเว่นอีเลฟเว่น ปากซอยศาลธนบุรี 44/4,19,392,851,3,543,63
2599,2600,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,เต็นท์หน้าร้านเซเว่นอีเลฟเว่น ปากซอยศาลธนบุรี 44/4,20,389,814,3,560,68
2600,2601,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7,21,230,609,2,290,47
2601,2602,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7,22,189,567,2,320,56
2602,2603,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7,23,190,555,2,273,49
2603,2604,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7,24,196,590,2,280,47
2604,2605,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7,25,199,565,2,280,49
2605,2606,Zone06,1022,102201,บางหว้า,เขตภาษีเจริญ,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร ซอยศาลธนบุรี 17 แยก 7,26,166,506,2,250,49
