index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
2002,2003,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าสวนป่าฯ  เชิงสะพานพระปกเกล้า,1,128,400,0,0,0
2003,2004,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าสวนป่าฯ เชิงสะพานพระปกเกล้า,2,116,414,0,0,0
2004,2005,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนบำรุงวิชา ซอยช่างนาค,3,119,429,0,0,0
2005,2006,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนบำรุงวิชา ซอยช่างนาค,4,141,447,0,0,0
2006,2007,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนบำรุงวิชา ซอยช่างนาค,5,184,634,0,0,0
2007,2008,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนสตรีวุฑฒิศึกษา (เดิม) ซอยสมเด็จเจ้าพระยา 5,6,102,376,0,0,0
2008,2009,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนสตรีวุฑฒิศึกษา  (เดิม) ซอยสมเด็จเจ้าพระยา 5,7,120,484,0,0,0
2009,2010,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าศาลเจ้าซำไนเก็ง  ถนนท่าดินแดง,8,126,386,0,0,0
2010,2011,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าศาลเจ้าซำไนเก็ง  ถนนท่าดินแดง,9,110,371,0,0,0
2011,2012,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนวัดพิชัยญาติ,10,136,445,0,0,0
2012,2013,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงรถ บริษัท บี.เอ็ล.ฮั้ว จำกัด  ซอยสมเด็จเจ้าพระยา 12,11,161,522,0,0,0
2013,2014,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงรถ บริษัท บี.เอ็ล.ฮั้ว จำกัด  ซอยสมเด็จเจ้าพระยา 12,12,136,489,0,0,0
2014,2015,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงรถ บริษัท บี.เอ็ล.ฮั้ว จำกัด  ซอยสมเด็จเจ้าพระยา 12,13,201,544,0,0,0
2015,2016,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าบ้านเลขที่ 73 - 81  ซอยท่าดินแดง 3,14,141,493,0,0,0
2016,2017,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าบ้านเลขที่ 73 - 81  ซอยท่าดินแดง 3,15,127,424,0,0,0
2017,2018,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าธนาคารอาคารสงเคราะห์ สาขาสี่แยกบ้านแขก ซอยอิสรภาพ 10,16,159,437,0,0,0
2018,2019,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนพัฒนาวิทยา  ถนนอิสรภาพ,17,158,520,0,0,0
2019,2020,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,โรงเรียนพัฒนาวิทยา  ถนนอิสรภาพ,18,225,644,0,0,0
2020,2021,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์ปากซอยสารภี 2  ถนนประชาธิปก,19,127,346,0,0,0
2021,2022,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์ข้างห้างแพลตฟอร์ม  ถนนลาดหญ้า,20,142,398,0,0,0
2022,2023,Zone05,1018,101801,สมเด็จเจ้าพระยา,เขตคลองสาน,เต็นท์หน้าชุมสายโทรศัพท์  ถนนลาดหญ้า,21,118,337,0,0,0
2023,2024,Zone05,1018,101802,คลองสาน,เขตคลองสาน,โรงเรียนวัดทองธรรมชาติ,1,121,364,0,0,0
2024,2025,Zone05,1018,101802,คลองสาน,เขตคลองสาน,โรงเรียนวัดทองธรรมชาติ,2,141,513,0,0,0
2025,2026,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ,3,143,473,0,0,0
2026,2027,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ,4,166,563,0,0,0
2027,2028,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ,5,176,504,1,61,12
2028,2029,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ,6,117,457,1,36,7
2029,2030,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์หน้าโรงเรียนวัดทองธรรมชาติ,7,149,573,2,221,38
2030,2031,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์ในวิทยาลัยสารพัดช่างธนบุรี  ถนนเชียงใหม่,8,108,380,0,0,0
2031,2032,Zone05,1018,101802,คลองสาน,เขตคลองสาน,โรงเรียนวัดทองนพคุณ,9,217,676,0,0,0
2032,2033,Zone05,1018,101802,คลองสาน,เขตคลองสาน,โรงเรียนวัดทองนพคุณ,10,118,465,0,0,0
2033,2034,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์หน้าธนาคารทหารไทยธนชาต  สาขาลาดหญ้า,11,172,387,2,228,58
2034,2035,Zone05,1018,101802,คลองสาน,เขตคลองสาน,โรงจอดรถสำนักการศึกษา,12,160,522,1,137,26
2035,2036,Zone05,1018,101802,คลองสาน,เขตคลองสาน,โรงจอดรถสำนักการศึกษา,13,84,332,1,96,28
2036,2037,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์บริเวณสามเหลี่ยมลาดหญ้า,14,175,508,1,66,12
2037,2038,Zone05,1018,101802,คลองสาน,เขตคลองสาน,ที่จอดรถธนาคารไทยพาณิชย์  สาขาลาดหญ้า,15,199,544,1,50,9
2038,2039,Zone05,1018,101802,คลองสาน,เขตคลองสาน,ที่จอดรถธนาคารไทยพาณิชย์  สาขาลาดหญ้า,16,168,488,1,39,7
2039,2040,Zone05,1018,101802,คลองสาน,เขตคลองสาน,โถงใต้อาคารบริษัท เอี่ยมกิจ เทรดดิ้ง จำกัด ฝั่งซอยเจริญรัถ 3,17,157,500,0,0,0
2040,2041,Zone05,1018,101802,คลองสาน,เขตคลองสาน,เต็นท์บริเวณลาดจอดรถโรงเรียนผดุงกิจวิทยา (เดิม)  ถนนเจริญรัถ,18,116,312,0,0,0
2041,2042,Zone05,1018,101802,คลองสาน,เขตคลองสาน,ศูนย์เยาวชน (กระจ่างบริรักษ์นิติเกษตร)  ถนนสมเด็จเจ้าพระยา,19,97,320,0,0,0
2042,2043,Zone05,1018,101802,คลองสาน,เขตคลองสาน,ศูนย์เยาวชน (กระจ่างบริรักษ์นิติเกษตร) ถนนสมเด็จเจ้าพระยา,20,101,349,0,0,0
2043,2044,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,โรงเรียนอนุบาลศันสนีย์  ซอยเจริญนคร 23,1,148,331,0,0,0
2044,2045,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,เต็นท์หน้าร้าน ส.สมบูรณ์ออกซิเจน (ข้างโรงเลื่อยเกษตร) ถนนเจริญนคร,2,143,355,0,0,0
2045,2046,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,เต็นท์หน้าร้าน ส.สมบูรณ์ออกซิเจน (ข้างโรงเลื่อยเกษตร)ถนนเจริญนคร,3,100,348,1,50,14
2046,2047,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,ห้องประชุมโรงเรียนวัดเศวตฉัตร,4,108,572,2,266,46
2047,2048,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,ห้องประชุมโรงเรียนวัดเศวตฉัตร,5,114,378,2,168,44
2048,2049,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,ที่จอดรถธนาคารกรุงศรีอยุธยา สาขาย่อยเจริญนคร ซอย 35,6,475,685,0,0,0
2049,2050,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,ที่จอดรถธนาคารกรุงศรีอยุธยา สาขาย่อยเจริญนคร ซอย 35,7,155,448,0,0,0
2050,2051,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,ที่จอดรถธนาคารกรุงศรีอยุธยา สาขาย่อยเจริญนคร ซอย 35,8,169,493,1,65,13
2051,2052,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,ที่จอดรถธนาคารกรุงศรีอยุธยา สาขาย่อยเจริญนคร ซอย 35,9,190,547,0,0,0
2052,2053,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,เต็นท์บริเวณลานเอนกประสงค์ในชุมชนหลังตลาดเจริญนคร ซอยเจริญนคร 55,10,81,435,2,227,52
2053,2054,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,เต็นท์บริเวณลานเอนกประสงค์ในชุมชนหลังตลาดเจริญนคร ซอยเจริญนคร 55,11,91,382,0,0,0
2054,2055,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,อาคารสมาคมตระกูลลิ้ม ซอยเจริญนคร 46,12,163,385,0,0,0
2055,2056,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,อาคารสมาคมตระกูลลิ้ม ซอยเจริญนคร 46,13,148,497,3,623,125
2056,2057,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,อาคารสมาคมตระกูลลิ้ม ซอยเจริญนคร 46,14,223,580,0,0,0
2057,2058,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,อาคารสมาคมตระกูลลิ้ม ซอยเจริญนคร 46,15,169,540,0,0,0
2058,2059,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,เต็นท์ลานจอดรถธนาคารไทยพาณิชย์  สาขาเจริญนคร,16,146,443,0,0,0
2059,2060,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,เต็นท์ลานจอดรถธนาคารไทยพาณิชย์  สาขาเจริญนคร,17,176,475,0,0,0
2060,2061,Zone05,1018,101803,บางลำภูล่าง,เขตคลองสาน,เต็นท์ลานจอดรถธนาคารไทยพาณิชย์  สาขาเจริญนคร,18,177,508,1,90,17
