index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
0,1,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,หอประชุม มหาวิทยาลัยศิลปากร ถนนมหาราช,1,179,605,8,975,161
1,2,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,โรงเรียนวัดมหาธาตุ ถนนพระจันทร์,2,199,654,3,270,41
2,3,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,อาคารวาสนะประทานวิทยาสิทธิ์ 1 โรงเรียนวัดราชบพิธ ถนนสนามไชย,3,62,337,5,461,136
3,4,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,โรงเรียนวัดพระเชตุพน ถนนมหาราช,4,240,826,5,516,62
4,5,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,1,141,473,8,798,168
5,6,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,2,195,593,4,384,64
6,7,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,3,183,605,8,1037,171
7,8,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,4,151,550,6,666,121
8,9,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกจุฑาธุช 100 ปี วิทยาลัยเพาะช่างฯ ถนนตรีเพชร,5,154,475,7,852,179
9,10,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,โรงเรียนวัดราชบูรณะ ถนนตรีเพชร,6,223,488,12,1713,351
10,11,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,โรงเรียนวัดราชบูรณะ ถนนตรีเพชร,7,147,456,4,360,78
11,12,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณหน้าห้างดิโอลด์สยามพลาซ่า ถนนบูรพา,8,152,470,6,1005,213
12,13,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณศาลเจ้าแม่ทับทิม ถนนจักรเพชร,9,165,488,3,189,38
13,14,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ (เยื้องวัดราชบพิธ),10,162,531,5,620,116
14,15,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ตรงข้าม บ.นัฐพงษ์เซลล์แอนด์เซอร์วิส จำกัด,11,138,458,5,571,124
15,16,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ ตรงข้าม บ.นัฐพงษ์เซลล์แอนด์เซอร์วิส จำกัด,12,170,525,8,998,190
16,17,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณหน้าห้างดิโอลด์สยามพลาซ่า ถนนบูรพา,13,157,484,8,1455,300
17,18,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์หัวมุมสวนหย่อมเกาะกลางถนนอุณากรรณ ตรงข้ามสวนรมณีนาถ,14,270,618,10,1050,169
18,19,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,1,139,474,7,696,146
19,20,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,2,174,598,7,1046,174
20,21,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,3,157,476,4,447,93
21,22,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,4,162,571,5,710,124
22,23,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนวัดสุทัศน์ ถนนอุณากรรณ,5,116,360,3,390,108
23,24,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,เต็นท์บริเวณหน้าศาลาการเปรียญ วัดเทพธิดาราม,1,208,823,3,445,54
24,25,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,โรงเรียนเบญจมราชาลัย ในพระบรมราชูปถัมภ์ถนนศิริพงษ์,2,164,539,2,188,34
25,26,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,โรงเรียนเบญจมราชาลัย ในพระบรมราชูปถัมภ์ถนนศิริพงษ์,3,146,459,4,373,81
26,27,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,เต็นท์ภายในสวนรมณีนาถ ถนนมหาไชย,4,144,462,4,352,76
27,28,Zone01,1001,100105,ศาลเจ้าพ่อเสือ,เขตพระนคร,วิทยาลัยเทคโนโลยีพระนครพณิชยการ ถนนบุญศิริ,1,224,739,5,646,87
28,29,Zone01,1001,100105,ศาลเจ้าพ่อเสือ,เขตพระนคร,เต็นท์บริเวณบ้านตะละภัฏ ถนนแพร่งนรา,2,172,597,4,380,63
29,30,Zone01,1001,100105,ศาลเจ้าพ่อเสือ,เขตพระนคร,เต็นท์บริเวณบ้านตะละภัฏ ถนนแพร่งนรา,3,160,573,5,526,91
30,31,Zone01,1001,100105,ศาลเจ้าพ่อเสือ,เขตพระนคร,เต็นท์บริเวณสวนหย่อมหลังสถานีกาชาดที่ 2 ถนนแพร่งภูธร,4,145,447,5,565,126
31,32,Zone01,1001,100106,เสาชิงช้า,เขตพระนคร,โรงเรียนวัดมหรรณพาราม ถนนตะนาว,1,210,785,6,631,80
32,33,Zone01,1001,100106,เสาชิงช้า,เขตพระนคร,เต็นท์บริเวณลานคนเมือง หน้าศาลาว่าการกรุงเทพมหานคร,2,147,517,2,211,40
33,34,Zone01,1001,100106,เสาชิงช้า,เขตพระนคร,เต็นท์บริเวณลานคนเมือง หน้าศาลาว่าการกรุงเทพมหานคร,3,112,327,4,495,151
34,35,Zone01,1001,100107,บวรนิเวศ,เขตพระนคร,อาคารวชิรญาณวงศ์ โรงเรียนวัดบวรนิเวศ ถนนพระสุเมรุ,1,226,728,5,460,63
35,36,Zone01,1001,100107,บวรนิเวศ,เขตพระนคร,อาคารวชิรญาณวงศ์ โรงเรียนวัดบวรนิเวศ ถนนพระสุเมรุ,2,212,737,2,170,23
36,37,Zone01,1001,100107,บวรนิเวศ,เขตพระนคร,อาคารที่ทำการกลุ่มงานตกแต่ง สำนักงานออกแบบ สำนักการโยธา เชิงสะพานเฉลิมวันชาติ ถนนประชาธิปไตย,3,108,401,3,354,88
37,38,Zone01,1001,100107,บวรนิเวศ,เขตพระนคร,โรงเรียนวัดราชนัดดา ถนนราชดำเนินกลาง,4,126,465,1,102,21
38,39,Zone01,1001,100107,บวรนิเวศ,เขตพระนคร,เต็นท์บริเวณหน้าบริษัท ธนบุรีประกอบรถยนต์ จำกัด ถนนราชดำเนินกลาง,5,95,408,0,0,0
39,40,Zone01,1001,100107,บวรนิเวศ,เขตพระนคร,เต็นท์ข้างอนุสรณ์สถาน 14 ตุลา 16 ถนนราชดำเนินกลาง,6,98,322,5,612,190
40,41,Zone01,1001,100108,ตลาดยอด,เขตพระนคร,เต็นท์บริเวณทางเข้าถนนข้าวสาร ถนนจักรพงษ์,1,249,686,9,1163,169
41,42,Zone01,1001,100108,ตลาดยอด,เขตพระนคร,เต็นท์บริเวณเกาะกลาง ถนนสิบสามห้าง,2,168,476,4,310,65
42,43,Zone01,1001,100108,ตลาดยอด,เขตพระนคร,เต็นท์บริเวณเกาะกลาง ถนนสิบสามห้าง,3,183,535,1,60,11
43,44,Zone01,1001,100109,ชนะสงคราม,เขตพระนคร,โรงเรียนวัดชนะสงคราม ถนนจักรพงษ์,1,105,333,1,70,21
44,45,Zone01,1001,100109,ชนะสงคราม,เขตพระนคร,อาคารกรมโรงงานอุตสาหกรรม ถนนพระสุเมรุ,2,85,360,1,120,33
45,46,Zone01,1001,100109,ชนะสงคราม,เขตพระนคร,เต็นท์บริเวณหน้าสวนสันติชัยปราการ ถนนพระอาทิตย์,3,223,757,0,0,0
46,47,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,ศาลาเอนกประสงค์วัดเอี่ยมวรนุช ถนนสามเสน,1,156,466,8,692,148
47,48,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,โรงเรียนวัดใหม่อมตรส ถนนสามเสน,2,104,471,6,659,139
48,49,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,โรงเรียนวัดใหม่อมตรส ถนนสามเสน,3,140,525,1,88,16
49,50,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,โรงอาหารโรงเรียนวัดตรีทศเทพ ถนนประชาธิปไตย,4,217,705,1,69,9
50,51,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,เต็นท์ภายในโรงเรียนวัดตรีทศเทพ ถนนประชาธิปไตย,5,192,641,4,130,20
51,52,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,เต็นท์ภายในโรงเรียนวัดตรีทศเทพ ถนนประชาธิปไตย,6,144,512,3,446,87
52,53,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,ห้องสมุดโรงเรียนวัดตรีทศเทพ ถนนประชาธิปไตย,7,153,578,2,315,54
53,54,Zone01,1001,100110,บ้านพานถม,เขตพระนคร,เต็นท์บริเวณหน้าศาลาการเปรียญ วัดปรินายก ถนนปรินายก,8,219,847,1,35,4
