index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
4487,4488,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดบางประทุนนอก,1,193,676,2,200,29
4488,4489,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดบางประทุนนอก,2,195,676,3,479,70
4489,4490,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดไทร,3,204,680,1,250,36
4490,4491,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดไทร,4,199,737,1,150,20
4491,4492,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดไทร,5,212,661,1,170,25
4492,4493,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดไทร,6,213,707,1,120,16
4493,4494,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดไทร,7,227,726,0,0,0
4494,4495,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดไทร,8,220,724,0,0,0
4495,4496,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,9,191,718,0,0,0
4496,4497,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,10,203,685,4,831,121
4497,4498,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,11,205,770,3,745,96
4498,4499,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,12,261,770,2,360,46
4499,4500,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,13,260,758,2,420,55
4500,4501,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,14,255,717,5,1239,172
4501,4502,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,15,191,723,7,965,133
4502,4503,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,16,246,725,1,155,21
4503,4504,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนมัธยมวัดสิงห์,17,280,778,1,180,23
4504,4505,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย,18,284,757,1,340,44
4505,4506,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย,19,218,722,2,732,101
4506,4507,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย,20,225,778,3,991,127
4507,4508,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย,21,252,821,3,750,91
4508,4509,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย,22,364,848,2,407,47
4509,4510,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณลานจอดรถ สำนักงานสรรพากรพื้นที่ 27 ถนนเอกชัย,23,303,840,2,466,55
4510,4511,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์โรงจอดรถอัญชลีอพาร์ทเม้นท์ ซอยกำนันแม้น 28,24,142,552,5,1019,184
4511,4512,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์โรงจอดรถอัญชลีอพาร์ทเม้นท์ ซอยกำนันแม้น 28,25,149,573,4,614,107
4512,4513,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณสมาคมตระกูลโง้ว ถนนกัลปพฤกษ์,26,385,942,3,620,65
4513,4514,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณสมาคมตระกูลโง้ว ถนนกัลปพฤกษ์,27,449,907,2,259,28
4514,4515,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณข้างบ้านเลขที่ 44/3 สุดซอยกำนันแม้น 36,28,176,591,1,80,13
4515,4516,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณหน้าหมู่บ้านกัสโต้ สาทร-ตากสิน ถนนเทอดไท,29,296,753,0,0,0
4516,4517,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณวัดแก้วไพฑูรย์,30,278,815,4,980,120
4517,4518,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณวัดแก้วไพฑูรย์,31,196,685,4,838,122
4518,4519,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณวัดแก้วไพฑูรย์,32,219,688,4,820,119
4519,4520,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณวัดแก้วไพฑูรย์,33,217,726,3,643,88
4520,4521,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณวัดแก้วไพฑูรย์,34,221,723,4,856,118
4521,4522,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,เต็นท์บริเวณวัดแก้วไพฑูรย์,35,246,769,6,1333,173
4522,4523,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดศาลาครืน,36,293,757,4,987,130
4523,4524,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดศาลาครืน,37,201,725,4,1015,140
4524,4525,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดศาลาครืน,38,215,713,7,1508,211
4525,4526,Zone05,1035,103501,บางขุนเทียน,เขตจอมทอง,โรงเรียนวัดศาลาครืน,39,210,729,2,616,84
4526,4527,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์บริเวณประตูระบายน้ำวัดนาคปรก,1,242,822,3,998,121
4527,4528,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์บริเวณประตูระบายน้ำวัดนาคปรก,2,628,917,3,1064,116
4528,4529,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดหนัง,3,416,918,7,1644,179
4529,4530,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดหนัง,4,741,929,3,681,73
4530,4531,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดหนัง,5,572,942,4,795,84
4531,4532,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดหนัง,6,320,926,3,669,72
4532,4533,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดหนัง,7,331,923,3,685,74
4533,4534,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดหนัง,8,248,915,6,865,94
4534,4535,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดหนัง,9,231,896,3,638,71
4535,4536,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดนางนอง(พิพัฒน์),10,282,760,4,540,71
4536,4537,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดนางนอง(พิพัฒน์),11,227,739,3,356,48
4537,4538,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดนางนอง(พิพัฒน์),12,251,764,3,495,64
4538,4539,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดนางนอง(พิพัฒน์),13,219,685,4,768,112
4539,4540,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดนางนอง(พิพัฒน์),14,169,669,0,0,0
4540,4541,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดนางนอง(พิพัฒน์),15,173,765,0,0,0
4541,4542,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดนางนอง(พิพัฒน์),16,340,801,0,0,0
4542,4543,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนแม่พระประจักษ์,17,219,766,1,320,41
4543,4544,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนแม่พระประจักษ์,18,315,808,2,435,53
4544,4545,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนแม่พระประจักษ์,19,280,849,0,0,0
4545,4546,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนแม่พระประจักษ์,20,246,858,0,0,0
4546,4547,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนแม่พระประจักษ์,21,215,765,0,0,0
4547,4548,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนแม่พระประจักษ์,22,218,857,0,0,0
4548,4549,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนแม่พระประจักษ์,23,298,810,3,783,96
4549,4550,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง,24,194,625,4,651,104
4550,4551,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง,25,215,695,4,780,112
4551,4552,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง,26,200,609,4,672,110
4552,4553,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางขุนเทียน ถนนจอมทอง,27,205,613,4,780,127
4553,4554,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดมงคลวราราม,28,223,711,4,570,80
4554,4555,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดมงคลวราราม,29,281,793,4,509,64
4555,4556,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดมงคลวราราม,30,164,755,6,1100,145
4556,4557,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดมงคลวราราม,31,210,722,3,490,67
4557,4558,Zone05,1035,103502,บางค้อ,เขตจอมทอง,โรงเรียนวัดมงคลวราราม,32,221,715,3,783,109
4558,4559,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์โรงจอดรถข้างศูนย์พัฒนาเด็กเล็กชุมชนศิลปเดชซอยจอมทอง 12,33,149,639,5,845,132
4559,4560,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์โรงจอดรถข้างศูนย์พัฒนาเด็กเล็กชุมชนศิลปเดชซอยจอมทอง 12,34,169,688,3,500,72
4560,4561,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์ข้างเซเว่นอีเลฟเว่น แฟลตน้ำเงิน ซอยจอมทอง 14,35,227,673,5,1157,171
4561,4562,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์ข้างเซเว่นอีเลฟเว่น แฟลตน้ำเงิน ซอยจอมทอง 14,36,218,633,6,1240,195
4562,4563,Zone05,1035,103502,บางค้อ,เขตจอมทอง,เต็นท์ข้างเซเว่นอีเลฟเว่น แฟลตน้ำเงิน ซอยจอมทอง 14,37,161,578,6,1256,217
4563,4564,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางมด ถนนพระรามที่ 2,1,199,565,0,0,0
4564,4565,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารกสิกรไทย สาขาบางมด ถนนพระรามที่ 2,2,201,582,0,0,0
4565,4566,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารทหารไทยธนชาต จำกัดซอยพระรามที่ 2 ซอย 21,3,255,790,0,0,0
4566,4567,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถธนาคารทหารไทยธนชาต จำกัดซอยพระรามที่ 2 ซอย 21,4,253,776,0,0,0
4567,4568,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถสำนักงานเขตจอมทอง,5,188,617,3,438,70
4568,4569,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถสำนักงานเขตจอมทอง,6,234,718,7,1436,200
4569,4570,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถสำนักงานเขตจอมทอง,7,311,896,4,1218,135
4570,4571,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถสำนักงานเขตจอมทอง,8,278,762,0,0,0
4571,4572,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณลานจอดรถสำนักงานเขตจอมทอง,9,291,784,0,0,0
4572,4573,Zone05,1035,103503,บางมด,เขตจอมทอง,โรงเรียนบางมดวิทยา,10,246,731,3,930,127
4573,4574,Zone05,1035,103503,บางมด,เขตจอมทอง,โรงเรียนบางมดวิทยา,11,321,897,3,1150,128
4574,4575,Zone05,1035,103503,บางมด,เขตจอมทอง,โรงเรียนวัดโพธิ์ทอง,12,433,1028,0,0,0
4575,4576,Zone05,1035,103503,บางมด,เขตจอมทอง,โรงเรียนวัดโพธิ์ทอง,13,399,1002,0,0,0
4576,4577,Zone05,1035,103503,บางมด,เขตจอมทอง,โรงเรียนวัดโพธิ์ทอง,14,419,1023,0,0,0
4577,4578,Zone05,1035,103503,บางมด,เขตจอมทอง,เต็นท์บริเวณตลาดพุทธบูชา 95 CENTER FOR U ตรงข้ามซอยพุทธบูชา7/1,15,243,792,0,0,0
