index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
3278,3279,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,บริเวณแฟลตข้าราชการและลูกจ้างเขตบึงกุ่ม,1,173,436,3,235,53
3279,3280,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,บริเวณแฟลตข้าราชการและลูกจ้างเขตบึงกุ่ม,2,219,417,1,176,42
3280,3281,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,3,323,654,2,28,4
3281,3282,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,4,338,661,1,220,33
3282,3283,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,5,317,655,2,320,48
3283,3284,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณใกล้กับศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,6,329,634,1,26,4
3284,3285,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,ศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,7,345,653,1,311,47
3285,3286,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณหน้าศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,8,302,577,3,528,91
3286,3287,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณหน้าศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,9,317,575,1,180,31
3287,3288,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณหน้าศูนย์ชุมชนโครงการบ้านเอื้ออาทรบึงกุ่ม,10,307,571,2,125,21
3288,3289,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่ม ระหว่างตึก 60-62,11,338,665,2,440,66
3289,3290,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่มระหว่างตึก 60-62,12,336,673,0,0,0
3290,3291,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่มระหว่างตึก 60-62,13,333,683,2,245,35
3291,3292,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณลานกีฬาโครงการบ้านเอื้ออาทรบึงกุ่มระหว่างตึก 60-62,14,333,685,3,236,34
3292,3293,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,โรงเรียนสุขุมนวพันธ์อุปถัมภ์ (ลานราชพฤกษ์) ซอยเสรีไทย 41,15,181,750,0,0,0
3293,3294,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,โรงเรียนสุขุมนวพันธ์อุปถัมภ์ (ลานราชพฤกษ์) ซอยเสรีไทย 41,16,181,759,2,326,42
3294,3295,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,โรงเรียนสุขุมนวพันธ์อุปถัมภ์ (สนามเปตอง) ซอยเสรีไทย 41,17,267,838,3,283,33
3295,3296,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณลานอเนกประสงค์หมู่บ้านวังทองวิลเลจ 1 ซอยเสรีไทย 41,18,273,753,3,301,39
3296,3297,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณลานอเนกประสงค์หมู่บ้านวังทองวิลเลจ 1ซอยเสรีไทย 41,19,281,730,3,514,70
3297,3298,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,โรงเรียนคลองกุ่ม (เสรีไทย อนุสรณ์) ซอยเสรีไทย 53,20,485,926,1,19,2
3298,3299,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,โรงเรียนคลองกุ่ม (เสรีไทย อนุสรณ์) ซอยเสรีไทย 53,21,262,908,0,0,0
3299,3300,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณสวนปฏิบัติธรรม (ซอย 24) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57,22,297,866,4,757,87
3300,3301,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณสวนปฏิบัติธรรม (ซอย 24) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57,23,308,860,2,22,2
3301,3302,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณสวนปฏิบัติธรรม (ซอย 24) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57,24,308,829,1,123,14
3302,3303,Zone04,1027,102701,คลองกุ่ม,เขตบึงกุ่ม,เต็นท์บริเวณสนามเทนนิส (สวนเฟต 5) หมู่บ้านสหกรณ์ฯซอยเสรีไทย 57,25,282,795,1,29,3
