index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
6697,6698,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณหน้าสำนักงานหมู่บ้านวรารมย์ ถนนบางบอน 5,1,267,620,3,814,131
6698,6699,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณหน้าสำนักงานหมู่บ้านวรารมย์ ถนนบางบอน 5,2,248,587,4,514,87
6699,6700,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณหลังป้อมยามทางเข้าหมู่บ้านวรารมย์ ถนนบางบอน 5,3,203,560,3,768,137
6700,6701,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณหลังป้อมยามทางเข้าหมู่บ้านวรารมย์ ถนนบางบอน 5,4,217,572,3,705,123
6701,6702,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณหลังป้อมยามทางเข้าหมู่บ้านวรารมย์ ถนนบางบอน 5,5,234,549,2,587,106
6702,6703,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5,6,246,691,0,0,0
6703,6704,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5,7,230,674,0,0,0
6704,6705,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5,8,226,669,0,0,0
6705,6706,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5,9,206,607,0,0,0
6706,6707,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณร้านอาหารอิ่มปลาเผา ถนนบางบอน 5,10,228,610,4,994,162
6707,6708,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,วิทยาลัยเทคนิคราชสิทธาราม ซอยเอกชัย 116,11,321,824,0,0,0
6708,6709,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,วิทยาลัยเทคนิคราชสิทธาราม ซอยเอกชัย 116,12,247,795,0,0,0
6709,6710,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3,13,318,748,4,1144,152
6710,6711,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3,14,271,756,4,1080,142
6711,6712,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต้นท์บริเวณบึงบางบอน ถนนบางบอน 3,15,275,720,4,1200,166
6712,6713,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3,16,235,675,3,635,94
6713,6714,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3,17,223,683,4,1190,174
6714,6715,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3,18,303,749,4,1270,169
6715,6716,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,เต็นท์บริเวณบึงบางบอน ถนนบางบอน 3,19,230,688,0,0,0
6716,6717,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,โรงเรียนบ้านนายเหรียญ,20,353,824,5,1595,193
6717,6718,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,โรงเรียนบ้านนายเหรียญ,21,268,789,8,2020,256
6718,6719,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,โรงเรียนบ้านนายเหรียญ,22,293,806,8,2548,316
6719,6720,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,โรงเรียนบ้านนายสี,23,272,799,4,1390,173
6720,6721,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,โรงเรียนวัดนินสุขาราม,24,302,702,0,0,0
6721,6722,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,โรงเรียนวัดนินสุขาราม,25,246,696,0,0,0
6722,6723,Zone06,1050,105002,บางบอนเหนือ,เขตบางบอน,โรงเรียนวัดนินสุขาราม,26,327,681,0,0,0
6723,6724,Zone06,1050,105003,บางบอนใต้,เขตบางบอน,เต็นท์บริเวณร้านอาหาร ส.สุขโภชนา ถนนกาญจนาภิเษก,1,424,886,4,1040,117
6724,6725,Zone06,1050,105003,บางบอนใต้,เขตบางบอน,โรงเรียนพรหมราษฎร์รังสรรค์,2,257,681,4,1350,198
6725,6726,Zone06,1050,105003,บางบอนใต้,เขตบางบอน,โรงเรียนพรหมราษฎร์รังสรรค์,3,233,706,4,1114,157
