index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
0,1,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,หอประชุม มหาวิทยาลัยศิลปากร ถนนมหาราช,1,179,605,14,2872,474
1,2,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,โรงเรียนวัดมหาธาตุ ถนนพระจันทร์,2,199,654,7,1692,258
2,3,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,อาคารวาสนะประทานวิทยาสิทธิ์ 1 โรงเรียนวัดราชบพิธ ถนนสนามไชย,3,62,337,7,1062,315
3,4,Zone01,1001,100101,พระบรมมหาราชวัง,เขตพระนคร,โรงเรียนวัดพระเชตุพน ถนนมหาราช,4,240,826,7,1238,149
4,5,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,1,141,473,12,2216,468
5,6,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,2,195,593,7,1250,210
6,7,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,3,183,605,12,2299,380
7,8,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกสามัคยาจารย์ โรงเรียนสวนกุหลาบวิทยาลัย ถนนตรีเพชร,4,151,550,9,1623,295
8,9,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,ตึกจุฑาธุช 100 ปี วิทยาลัยเพาะช่างฯ ถนนตรีเพชร,5,154,475,8,1252,263
9,10,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,โรงเรียนวัดราชบูรณะ ถนนตรีเพชร,6,223,488,15,1820,372
10,11,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,โรงเรียนวัดราชบูรณะ ถนนตรีเพชร,7,147,456,5,514,112
11,12,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณหน้าห้างดิโอลด์สยามพลาซ่า ถนนบูรพา,8,152,470,8,1769,376
12,13,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณศาลเจ้าแม่ทับทิม ถนนจักรเพชร,9,165,488,3,189,38
13,14,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ (เยื้องวัดราชบพิธ),10,162,531,9,1610,303
14,15,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ตรงข้าม บ.นัฐพงษ์เซลล์แอนด์เซอร์วิส จำกัด,11,138,458,9,1559,340
15,16,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณริมคลองคูเมืองเดิม ถนนอัษฎางค์ ตรงข้าม บ.นัฐพงษ์เซลล์แอนด์เซอร์วิส จำกัด,12,170,525,12,2229,424
16,17,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์บริเวณหน้าห้างดิโอลด์สยามพลาซ่า ถนนบูรพา,13,157,484,9,1534,316
17,18,Zone01,1001,100102,วังบูรพาภิรมย์,เขตพระนคร,เต็นท์หัวมุมสวนหย่อมเกาะกลางถนนอุณากรรณ ตรงข้ามสวนรมณีนาถ,14,270,618,14,1291,208
18,19,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,1,139,474,8,1095,231
19,20,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,2,174,598,10,2207,369
20,21,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,3,157,476,7,1282,269
21,22,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนราชบพิธ ถนนราชบพิธ,4,162,571,8,1633,285
22,23,Zone01,1001,100103,วัดราชบพิธ,เขตพระนคร,โรงเรียนวัดสุทัศน์ ถนนอุณากรรณ,5,116,360,7,1356,376
23,24,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,เต็นท์บริเวณหน้าศาลาการเปรียญ วัดเทพธิดาราม,1,208,823,5,665,80
24,25,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,โรงเรียนเบญจมราชาลัย ในพระบรมราชูปถัมภ์ถนนศิริพงษ์,2,164,539,5,1328,246
25,26,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,โรงเรียนเบญจมราชาลัย ในพระบรมราชูปถัมภ์ถนนศิริพงษ์,3,146,459,9,1621,353
26,27,Zone01,1001,100104,สำราญราษฎร์,เขตพระนคร,เต็นท์ภายในสวนรมณีนาถ ถนนมหาไชย,4,144,462,7,1070,231
27,28,Zone01,1001,100105,ศาลเจ้าพ่อเสือ,เขตพระนคร,วิทยาลัยเทคโนโลยีพระนครพณิชยการ ถนนบุญศิริ,1,224,739,8,1754,237
28,29,Zone01,1001,100105,ศาลเจ้าพ่อเสือ,เขตพระนคร,เต็นท์บริเวณบ้านตะละภัฏ ถนนแพร่งนรา,2,172,597,5,457,76
29,30,Zone01,1001,100105,ศาลเจ้าพ่อเสือ,เขตพระนคร,เต็นท์บริเวณบ้านตะละภัฏ ถนนแพร่งนรา,3,160,573,5,526,91
