index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
6332,6333,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,1,545,738,6,1015,137
6333,6334,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,2,314,629,1,36,5
6334,6335,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,3,265,710,5,1181,166
6335,6336,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,4,210,538,9,1776,330
6336,6337,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,5,277,614,5,985,160
6337,6338,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,6,182,501,5,361,72
6338,6339,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,7,178,476,5,824,173
6339,6340,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,8,142,396,4,180,45
6340,6341,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,สนามกีฬาอเนกประสงค์โรงเรียนอรรถวิทย์,9,367,618,4,234,37
6341,6342,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,10,352,592,4,868,146
6342,6343,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,11,250,512,6,1084,211
6343,6344,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,12,183,489,2,397,81
6344,6345,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,13,125,447,5,395,88
6345,6346,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,14,148,492,3,476,96
6346,6347,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,15,142,498,4,813,163
6347,6348,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,16,185,523,3,648,123
6348,6349,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,17,172,639,5,947,148
6349,6350,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,18,212,646,4,915,141
6350,6351,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,19,186,579,3,729,125
6351,6352,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,20,410,777,4,854,109
6352,6353,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,21,412,787,3,625,79
6353,6354,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,22,250,707,4,856,121
6354,6355,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,23,284,770,5,1457,189
6355,6356,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์ในบริเวณโรงเรียนสิริรัตนาธร,24,153,467,4,732,156
6356,6357,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,25,168,469,4,475,101
6357,6358,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,26,124,560,6,508,90
6358,6359,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,27,201,513,4,389,75
6359,6360,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,28,140,510,6,497,97
6360,6361,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,29,158,498,5,915,183
6361,6362,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,30,175,665,4,1025,154
6362,6363,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,31,161,640,5,946,147
6363,6364,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,32,118,426,7,314,73
6364,6365,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนศรีเอี่ยมอนุสรณ์,33,505,792,4,320,40
6365,6366,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนศรีเอี่ยมอนุสรณ์,34,278,674,4,240,35
6366,6367,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนศรีเอี่ยมอนุสรณ์,35,245,587,5,345,58
6367,6368,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนศรีเอี่ยมอนุสรณ์,36,255,629,3,160,25
6368,6369,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนศรีเอี่ยมอนุสรณ์,37,235,557,3,310,55
6369,6370,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,อาคารเดอะพาร์คแลนด์เซ็นเตอร์,38,347,557,10,896,160
6370,6371,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,อาคารเดอะพาร์คแลนด์เซ็นเตอร์,39,414,589,8,716,121
6371,6372,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,40,328,674,5,331,49
6372,6373,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,41,173,488,5,214,43
6373,6374,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,42,153,533,5,372,69
6374,6375,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,43,426,661,4,215,32
6375,6376,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,44,236,464,4,172,37
6376,6377,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,45,252,517,4,239,46
6377,6378,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,46,168,520,8,1449,278
6378,6379,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,47,451,610,4,298,48
6379,6380,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์บริเวณหมู่บ้านมณียาวิลล์,48,443,684,4,493,72
6380,6381,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์บริเวณหมู่บ้านมณียาวิลล์,49,347,729,3,934,128
6381,6382,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์บริเวณหมู่บ้านมณียาวิลล์,50,288,666,4,552,82
6382,6383,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์บริเวณหมู่บ้านมณียาวิลล์,51,225,564,6,797,141
6383,6384,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์บริเวณหมู่บ้านมณียาวิลล์,52,203,495,4,417,84
6384,6385,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์หน้าตลาดมหาสิน,53,161,489,4,728,148
6385,6386,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์หน้าตลาดมหาสิน,54,153,497,4,270,54
6386,6387,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์หน้าตลาดมหาสิน,55,163,515,4,820,159
6387,6388,Zone02,1047,104701,บางนาเหนือ,เขตบางนา,เต็นท์หน้าตลาดมหาสิน,56,182,539,4,830,153
6388,6389,Zone02,1047,104703,บางนาใต้,เขตบางนา,ชั้นล่างอาคาร 19 อาคารชุดทหารเรือ,1,273,526,4,737,140
6389,6390,Zone02,1047,104703,บางนาใต้,เขตบางนา,ชั้นล่างอาคาร 19 อาคารชุดทหารเรือ,2,282,562,4,820,145
6390,6391,Zone02,1047,104703,บางนาใต้,เขตบางนา,ชั้นล่างอาคาร 19 อาคารชุดทหารเรือ,3,340,609,4,620,101
6391,6392,Zone02,1047,104703,บางนาใต้,เขตบางนา,ชั้นล่างอาคาร 16 อาคารชุดทหารเรือ,4,221,453,4,720,158
6392,6393,Zone02,1047,104703,บางนาใต้,เขตบางนา,ชั้นล่างอาคาร 16 อาคารชุดทหารเรือ,5,308,619,4,861,139
6393,6394,Zone02,1047,104703,บางนาใต้,เขตบางนา,ชั้นล่างอาคาร 16 อาคารชุดทหารเรือ,6,289,648,4,1020,157
6394,6395,Zone02,1047,104703,บางนาใต้,เขตบางนา,ศูนย์เยาวชนบางนา,7,198,393,3,402,102
6395,6396,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนานอก,8,174,510,5,324,63
6396,6397,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนานอก,9,167,561,5,471,83
6397,6398,Zone02,1047,104703,บางนาใต้,เขตบางนา,หอประชุมกรมอุตุนิยมวิทยา,10,386,577,4,653,113
6398,6399,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนาใน,11,291,606,5,420,69
6399,6400,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนาใน,12,211,623,5,700,112
6400,6401,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนาใน,13,609,725,5,330,45
6401,6402,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนาใน,14,347,734,5,270,36
6402,6403,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนาใน,15,223,551,4,265,48
6403,6404,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนวัดบางนาใน,16,190,572,5,225,39
6404,6405,Zone02,1047,104703,บางนาใต้,เขตบางนา,ชั้นล่างใต้อาคาร 2 โรงเรียนรุ่งเรืองวิทยา,17,105,409,5,211,51
6405,6406,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนเพี้ยนพินอนุสรณ์,18,178,547,5,1042,190
6406,6407,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนเพี้ยนพินอนุสรณ์,19,205,603,4,779,129
6407,6408,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนเพี้ยนพินอนุสรณ์,20,152,589,4,822,139
6408,6409,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนเพี้ยนพินอนุสรณ์,21,119,491,6,870,177
6409,6410,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนเพี้ยนพินอนุสรณ์,22,157,528,4,777,147
6410,6411,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนเพี้ยนพินอนุสรณ์,23,156,606,4,792,130
6411,6412,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนเพี้ยนพินอนุสรณ์,24,225,593,5,1041,175
6412,6413,Zone02,1047,104703,บางนาใต้,เขตบางนา,เต็นท์หน้าสโมสรหมู่บ้านนภาลัย,25,240,683,6,1546,226
6413,6414,Zone02,1047,104703,บางนาใต้,เขตบางนา,เต็นท์หน้าสโมสรหมู่บ้านนภาลัย,26,221,604,3,789,130
6414,6415,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงอาหารโรงเรียนประภามนตรี,27,438,761,4,435,57
6415,6416,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงอาหารโรงเรียนประภามนตรี,28,267,615,4,389,63
6416,6417,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงอาหารโรงเรียนประภามนตรี,29,223,589,4,358,60
6417,6418,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงอาหารโรงเรียนประภามนตรี,30,216,639,4,349,54
6418,6419,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงอาหารโรงเรียนประภามนตรี,31,365,647,4,336,51
6419,6420,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงอาหารโรงเรียนประภามนตรี,32,233,604,3,247,40
6420,6421,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,33,520,698,5,1119,160
6421,6422,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,34,452,636,4,848,133
6422,6423,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,35,201,512,3,606,118
6423,6424,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,36,485,621,4,830,133
6424,6425,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,37,317,646,4,1030,159
6425,6426,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,38,418,698,5,926,132
6426,6427,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,39,290,659,4,846,128
6427,6428,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,40,144,526,7,1061,201
6428,6429,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,41,351,570,4,873,153
6429,6430,Zone02,1047,104703,บางนาใต้,เขตบางนา,โรงเรียนผ่องพลอยอนุสรณ์,42,272,600,4,722,120
